"fhudcode","fhudname","phic_name","regname","provcode","provname","citycode","cityname","facility_type_code","pan"
"DOH000000000007369","GENERAL TRIAS RURAL HEALTH UNIT","GENERAL TRIAS CITY HEALTH OFFICE","Region 4A","0421","CAVITE","042108","GENERAL TRIAS","RHU","P41025886"
"DOH000000000007382","MALABANG RURAL HEALTH UNIT","MALABANG RURAL HEALTH UNIT","ARMM","1536","LANAO DEL SUR","153615","MALABANG","RHU","P15025826"
"DOH000000000007384","BALIUAG RURAL HEALTH UNIT III","BALIWAG RHU III","Region 3","0314","BULACAN","031403","BALIUAG","RHU","P03024350"
"DOH000000000007386","CALAUAN RURAL HEALTH UNIT","CALAUAN - RHU FACILITY","Region 4A","0434","LAGUNA","043406","CALAUAN","RHU","P41027230"
"DOH000000000007387","SAN MIGUEL RURAL HEALTH UNIT II (SANTA RITA MATANDA)","RHU II STA. RITA HEALTH CENTER AND BIRTHING FACILITY","Region 3","0314","BULACAN","031421","SAN MIGUEL","RHU","P03028940"
"DOH000000000007388","CITY OF MALOLOS (CAPITOL) RURAL HEALTH UNIT IV (MATIMBO)",,"Region 3","0314","BULACAN","031410","CITY OF MALOLOS  (Capital)","RHU","P03024358"
"DOH000000000007389","SAN RAFAEL RURAL HEALTH UNIT II","SAN RAFAEL RHU II ","Region 3","0314","BULACAN","031422","SAN RAFAEL","RHU","P03024381"
"DOH000000000007391","SAN MIGUEL RURAL HEALTH UNIT III (SALACOT)","RURAL HEALTH UNIT III SALACOT","Region 3","0314","BULACAN","031421","SAN MIGUEL","RHU","P03028944"
"DOH000000000007392","CITY OF MALOLOS (CAPITOL) RURAL HEALTH UNIT II","MALOLOS RHU III ","Region 3","0314","BULACAN","031410","CITY OF MALOLOS  (Capital)","RHU","P03024357"
"DOH000000000007395","BANGA RURAL HEALTH UNIT","BANGA RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126302","BANGA","RHU","P12025554"
"DOH000000000007396","BALABAGAN RURAL HEALTH UNIT","BALABAGAN RHU","ARMM","1536","LANAO DEL SUR","153602","BALABAGAN","RHU","P15026893"
"DOH000000000007399","SAN RAFAEL RURAL HEALTH UNIT I (POBLACION)","SAN RAFAEL RHU I  ","Region 3","0314","BULACAN","031422","SAN RAFAEL","RHU","P03024380"
"DOH000000000007401","LOS BANOS RURAL HEALTH UNIT I","LOS BA?OS HEALTHCARE CENTER RHU I","Region 4A","0434","LAGUNA","043411","LOS BAÃ‚ÂOS","RHU","P41025912"
"DOH000000000007402","CAVINTI RURAL HEALTH UNIT",,"Region 4A","0434","LAGUNA","043407","CAVINTI","RHU","P41025908"
"DOH000000000007403","CITY OF MALOLOS (CAPITOL) RURAL HEALTH UNIT III","MALOLOS RHU IV","Region 3","0314","BULACAN","031410","CITY OF MALOLOS  (Capital)","RHU","P03024358"
"DOH000000000007406","MAAYON RURAL HEALTH UNIT","MAAYON RURAL HEALTH UNIT ","Region 6","0619","CAPIZ","061907","MA-AYON","RHU","P06024727"
"DOH000000000007409","MARIHATAG MUNICIPAL HEALTH OFFICE","RHU-MARIHATAG","CARAGA","1668","SURIGAO DEL SUR","166814","MARIHATAG","RHU","P14025758"
"DOH000000000007413","LILIW RURAL HEALTH UNIT","LILIW RURAL HEALTH UNIT","Region 4A","0434","LAGUNA","043410","LILIW","RHU","P41025911"
"DOH000000000007415","BALIUAG RURAL HEALTH UNIT I","BALIWAG RHU I","Region 3","0314","BULACAN","031403","BALIUAG","RHU","P03027398"
"DOH000000000007419","KALAYAAN RURAL HEALTH UNIT","RURAL HEALTH UNIT KALAYAAN LAGUNA","Region 4A","0434","LAGUNA","043409","KALAYAAN","RHU","P41025910"
"DOH000000000007423","MULONDO RURAL HEALTH UNIT","MULONDO RURAL HEALTH UNIT","ARMM","1536","LANAO DEL SUR","153619","MULONDO","RHU","P15026891"
"DOH000000000007424","PAETE RURAL HEALTH UNIT","PAETE RURAL HEALTH UNIT","Region 4A","0434","LAGUNA","043418","PAETE","RHU","P41025916"
"DOH000000000007432","MEYCAUAYAN CITY HEALTH UNIT I","MEYCAUAYAN CITY HEALTH UNIT I","Region 3","0314","BULACAN","031412","MEYCAUAYAN","RHU","P03029576"
"DOH000000000007433","MEYCAUAYAN CITY HEALTH UNIT II","MEYCAUAYAN CITY HEALTH UNIT II","Region 3","0314","BULACAN","031412","MEYCAUAYAN","CHO","P03026879"
"DOH000000000007434","MEYCAUAYAN CITY HEALTH UNIT VII","MEYCAUAYAN CITY HEALTH UNIT VII","Region 3","0314","BULACAN","031412","MEYCAUAYAN","RHU","P03026768"
"DOH000000000007435","MEYCAUAYAN CITY HEALTH UNIT III","MEYCAUAYAN CITY HEALTH UNIT III","Region 3","0314","BULACAN","031412","MEYCAUAYAN","RHU","P03029575"
"DOH000000000007436","MEYCAUAYAN CITY HEALTH UNIT IV","MEYCAUAYAN CITY HEALTH UNIT IV","Region 3","0314","BULACAN","031412","MEYCAUAYAN","RHU","P03029122"
"DOH000000000007439","PANDI RURAL HEALTH UNIT","PANDI RHU I","Region 3","0314","BULACAN","031415","PANDI","RHU","P03024372"
"DOH000000000007442","SAN ILDEFONSO RURAL HEALTH UNIT II","SAN ILDEFONSO RHU II","Region 3","0314","BULACAN","031419","SAN ILDEFONSO","RHU","P03024346"
"DOH000000000007446","LUMBA-BAYABAO RURAL HEALTH UNIT","LUMBA BAYABAO RHU","ARMM","1536","LANAO DEL SUR","153611","LUMBA-BAYABAO (MAGUING)","RHU","P15025819"
"DOH000000000007447","SAN PEDRO RURAL HEALTH UNIT I","SAN PEDRO RURAL HEALTH UNIT I","Region 4A","0434","LAGUNA","043425","SAN PEDRO","RHU","P41027227"
"DOH000000000007449","BALIUAG RURAL HEALTH UNIT II","BALIWAG RHU II ","Region 3","0314","BULACAN","031403","BALIUAG","RHU","P03024349"
"DOH000000000007453","SUDIPEN RURAL HEALTH UNIT","SUDIPEN RURAL HEALTH UNIT","Region 1","0133","LA UNION","013319","SUDIPEN","RHU","P01024135"
"DOH000000000007454","MORONG RURAL HEALTH UNIT","MORONG RURAL HEALTH UNIT","Region 4A","0458","RIZAL","045809","MORONG","RHU","P93027234"
"DOH000000000007455","BASUD MUNICIPAL HEALTH OFFICE","BASUD MUNICIPAL HEALTH OFFICE","Region 5","0516","CAMARINES NORTE","051601","BASUD","RHU","P05024573"
"DOH000000000007456","MEXICO RURAL HEALTH UNIT IV","MEXICO RHU IV ","Region 3","0354","PAMPANGA","035413","MEXICO","RHU","P03024450"
"DOH000000000007457","PORAC RURAL HEALTH UNIT I","PORAC RURAL HEALTH UNIT I","Region 3","0354","PAMPANGA","035415","PORAC","RHU","P03027989"
"DOH000000000007459","BANNA MUNICIPAL HEALTH OFFICE","BANNA MUNICIPAL HEALTH OFFICE","Region 1","0128","ILOCOS NORTE","012811","BANNA (ESPIRITU)","RHU","P01024074"
"DOH000000000007460","AMADO T. REYES HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - A.T. REYES HEALTH CENTER  ","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026259"
"DOH000000000007467","BAAY BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000007468","DAGUIT BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000007469","FABRICA BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051609","SAN VICENTE","BHS",
"DOH000000000007470","LA FILIPINA BARANGAY HEALTH STATION",,"Region 11","1123","DAVAO DEL NORTE","112319","CITY OF TAGUM (Capital)","BHS",
"DOH000000000007472","ALMERIA MUNICIPAL HEALTH OFFICE, FAMILY PLANNING AND TB DOTS CENTER","ALMERIA RHU, TB DOTS & BIRTHING FACILITY","Region 8","0878","BILIRAN","087801","ALMERIA","Municipal Health Office","P08025036"
"DOH000000000007473","MAYDOLONG RURAL HEALTH UNIT","MAYDOLONG RURAL HEALTH UNIT ","Region 8","0826","EASTERN SAMAR","082615","MAYDOLONG","RHU","P08025044"
"DOH000000000007474","SAN SEBASTIAN RURAL HEALTH UNIT","RHU SAN SEBASTIAN","Region 8","0860","WESTERN SAMAR","086015","SAN SEBASTIAN","RHU","P08025156"
"DOH000000000007475","SAN ISIDRO RURAL HEALTH UNIT","SAN ISIDRO RURAL HEALTH UNIT","Region 8","0848","NORTHERN SAMAR","084818","SAN ISIDRO","RHU","P08025179"
"DOH000000000007476","SANTA TERESITA RURAL HEALTH UNIT","STA. TERESITA MUNICIPAL HEALTH OFFICE","Region 2","0215","CAGAYAN","021525","SANTA TERESITA","RHU","P02024237"
"DOH000000000007533","LAMITAN RURAL HEALTH UNIT-EAST","RHU 3 LAMITAN EAST","ARMM","1507","BASILAN","150702","LAMITAN","RHU","P15026898"
"DOH000000000007535","MAYSAN HEALTH CENTER","MAYSAN HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026170"
"DOH000000000007551","BADIANGON BARANGAY HEALTH STATION",,"Region 6","0619","CAPIZ","061913","PRESIDENT ROXAS","BHS",
"DOH000000000007564","ITOK BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051602","CAPALONGA","BHS",
"DOH000000000007565","HOLY CROSS BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112508","MANAY","BHS",
"DOH000000000007570","MAGDUM BARANGAY HEALTH STATION",,"Region 11","1123","DAVAO DEL NORTE","112319","CITY OF TAGUM (Capital)","BHS",
"DOH000000000007576","NEW BALAMBAN BARANGAY HEALTH STATION",,"Region 11","1123","DAVAO DEL NORTE","112319","CITY OF TAGUM (Capital)","BHS",
"DOH000000000007578","PAGSANGAHAN BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051601","BASUD","BHS",
"DOH000000000007585","SAN FRANCISCO SUR BARANGAY HEALTH STATION",,"Region 1","0133","LA UNION","013319","SUDIPEN","BHS",
"DOH000000000007590","SAN LORENZO BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051610","SANTA ELENA","BHS",
"DOH000000000007596","SAN MIGUEL (CAMP 4) BARANGAY HEALTH STATION",,"Region 11","1123","DAVAO DEL NORTE","112319","CITY OF TAGUM (Capital)","BHS",
"DOH000000000007640","SAN VICENTE BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051610","SANTA ELENA","BHS",
"DOH000000000007655","MANKAYAN RURAL HEALTH UNIT","MANKAYAN RURAL HEALTH UNIT - PCB1","CAR","1411","BENGUET","141111","MANKAYAN","RHU","P13025616"
"DOH000000000007657","BINGAWAN RURAL HEALTH UNIT","BINGAWAN RHU","Region 6","0630","ILOILO","063010","BINGAWAN","RHU","P06024777"
"DOH000000000007659","BUENAVISTA RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE- MUNICIPALITY OF BUENAVISTA","Region 6","0679","GUIMARAS","067901","BUENAVISTA","RHU","P06024738"
"DOH000000000007664","AROROY RURAL HEALTH UNIT","RHU AROROY","Region 5","0541","MASBATE","054101","AROROY","RHU","P05024632"
"DOH000000000007667","PINAGBUHATAN HEALTH CENTER",,"NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026370"
"DOH000000000007669","MOALBOAL RURAL HEALTH UNIT","RURAL HEALTH UNIT - MOALBOAL","Region 7","0722","CEBU","072233","MOALBOAL","RHU","P07024931"
"DOH000000000007673","ALOGUINSAN RURAL HEALTH UNIT","ALOGUINSAN RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","Region 7","0722","CEBU","072204","ALOGUINSAN","RHU","P07024959"
"DOH000000000007690","BARANGAY 24 (POB.) URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000007691","MACABALAN NHA BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000007695","AGDANGAN RURAL HEALTH UNIT","RURAL HEALTH UNIT AGDANGAN QUEZON","Region 4A","0456","QUEZON","045601","AGDANGAN","RHU","P41025930"
"DOH000000000007696","BAYAMBANG RURAL HEALTH UNIT I","BAYAMBANG RURAL HEALTH UNIT I  ","Region 1","0155","PANGASINAN","015511","BAYAMBANG","RHU","P01024148"
"DOH000000000007720","LIKUD TABAWAN BARANGAY HEALTH STATION",,"ARMM","1570","TAWI-TAWI","157006","SOUTH UBIAN","BHS",
"DOH000000000007832","BADEO BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141109","KIBUNGAN","BHS",
"DOH000000000007834","TACADANG PROPER BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141109","KIBUNGAN","BHS",
"DOH000000000007835","NANGALISAN BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141113","TUBA","BHS",
"DOH000000000007838","PAPPA BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141112","SABLAN","BHS",
"DOH000000000007839","KAMOG BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141112","SABLAN","BHS",
"DOH000000000007841","BANANGAN BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141112","SABLAN","BHS",
"DOH000000000007842","BANENGBENG BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141112","SABLAN","BHS",
"DOH000000000007843","BALLUAY BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141112","SABLAN","BHS",
"DOH000000000007848","SADDLE, SAGPAT BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141109","KIBUNGAN","BHS",
"DOH000000000007850","POLIS, POBLACION BARANGAY HEALTH STATION",,"CAR","1411","BENGUET","141109","KIBUNGAN","BHS",
"DOH000000000007857","CATARMAN RURAL HEALTH UNIT","CATARMAN RHU","Region 8","0848","NORTHERN SAMAR","084805","CATARMAN (Capital)","RHU","P08025131"
"DOH000000000007858","CULABA MUNICIPAL HEALTH OFFICE LYING-IN & EMERGENCY CLINIC","CULABA MUNICIPAL HEALTH OFFICE, LYING-IN & EMERGENCY CLINIC","Region 8","0878","BILIRAN","087805","CULABA","RHU","P08025032"
"DOH000000000007859","CALBIGA MUNICIPAL HEALTH OFFICE","CALBIGA MUNICIPAL HEALTH OFFICE","Region 8","0860","WESTERN SAMAR","086004","CALBIGA","Municipal Health Office","P08025169"
"DOH000000000007861","SANTA RITA RURAL HEALTH UNIT","STA. RITA RHU","Region 8","0860","WESTERN SAMAR","086017","SANTA RITA","RHU","P08025155"
"DOH000000000007862","CAPUL RURAL HEALTH UNIT","CAPUL RURAL HEALTH UNIT","Region 8","0848","NORTHERN SAMAR","084804","CAPUL","RHU","P08025132"
"DOH000000000007863","SANTA MARGARITA RURAL HEALTH UNIT","STA. MARGARITA RHU","Region 8","0860","WESTERN SAMAR","086016","SANTA MARGARITA","RHU","P08025072"
"DOH000000000007865","CAN-AVID RURAL HEALTH UNIT","CAN-AVID RURAL HEALTH UNIT","Region 8","0826","EASTERN SAMAR","082605","CAN-AVID","RHU","P08025053"
"DOH000000000007869","JIABONG RURAL HEALTH UNIT","RHU JIABONG","Region 8","0860","WESTERN SAMAR","086009","JIABONG","RHU","P08027334"
"DOH000000000007872","NAVAL MUNICIPAL HEALTH OFFICE &MATERNITY AND NEWBORN CARE CENTER","NAVAL MUNICIPAL HEALTH OFFICE","Region 8","0878","BILIRAN","087808","NAVAL (Capital)","Municipal Health Office","P08025029"
"DOH000000000007873","KAWAYAN MUNICIPAL HEALTH OFFICE & BIRTHING CENTER","KAWAYAN RURAL HEALTH UNIT, TB DOTS & BIRTHING FACILITY","Region 8","0878","BILIRAN","087806","KAWAYAN","Municipal Health Office","P08025031"
"DOH000000000007881","ABUYOG RURAL HEALTH UNIT II","RHU-II ABUYOG LEYTE","Region 8","0837","LEYTE","083701","ABUYOG","RHU","P08025112"
"DOH000000000007886","BAYBAY RURAL HEALTH UNIT I",,"Region 8","0837","LEYTE","083708","BAYBAY","RHU","P08025105"
"DOH000000000007890","BONTOC RURAL HEALTH UNIT","BONTOC RURAL HEALTH UNIT ","Region 8","0864","SOUTHERN LEYTE","086402","BONTOC","RHU","P08025173"
"DOH000000000007891","CALBAYOG CITY HEALTH OFFICE",,"Region 8","0860","WESTERN SAMAR","086003","CALBAYOG CITY","RHU","P08027719"
"DOH000000000007904","HINUNDAYAN RURAL HEALTH UNIT","HINUNDAYAN RURAL HEALTH UNIT ","Region 8","0864","SOUTHERN LEYTE","086404","HINUNDAYAN","RHU","P08025147"
"DOH000000000007908","KANANGA RURAL HEALTH UNIT","KANANGA RURAL HEALTH UNIT","Region 8","0837","LEYTE","083726","KANANGA","RHU","P08025091"
"DOH000000000007912","MAASIN CITY HEALTH UNIT I","MAASIN CITY HEALTH OFFICE I","Region 8","0864","SOUTHERN LEYTE","086407","CITY OF MAASIN (Capital)","RHU","P08025149"
"DOH000000000007914","MARABUT RURAL HEALTH UNIT","MARABUT RHU","Region 8","0860","WESTERN SAMAR","086010","MARABUT","RHU","P08025164"
"DOH000000000007920","ORMOC CITY HEALTH OFFICE","CITY HEALTH OFFICE- ORMOC","Region 8","0837","LEYTE","083738","ORMOC CITY","CHO","P08025083"
"DOH000000000007926","SAN ANTONIO MUNICIPAL HEALTH OFFICE","SAN ANTONIO RHU","Region 8","0848","NORTHERN SAMAR","084817","SAN ANTONIO","RHU","P08025118"
"DOH000000000007932","VILLABA RURAL HEALTH UNIT","VILLABA RHU","Region 8","0837","LEYTE","083751","VILLABA","RHU","P08025060"
"DOH000000000007940","LA UNION BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112510","SAN ISIDRO","BHS",
"DOH000000000007943","NEW BATAAN MUNICIPAL HEALTH OFFICE","RURAL HEALTH UNIT - NEW BATAAN","Region 11","1182","COMPOSTELA VALLEY","118210","NEW BATAAN","RHU","P11025488"
"DOH000000000007951","PISO PROPER BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112502","BANAYBANAY","BHS",
"DOH000000000007968","BUKAL BARANGAY HEALTH STATION",,"Region 11","1182","COMPOSTELA VALLEY","118209","NABUNTURAN (Capital)","BHS",
"DOH000000000007996","ALIPAO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166701","ALEGRIA","BHS",
"DOH000000000007998","SAN PEDRO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166701","ALEGRIA","BHS",
"DOH000000000008001","DAYWAN BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008002","LADGARON BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008003","PANATAO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008004","CABUGO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008005","URBIZTONDO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008006","TAGANITO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008007","HAYANGGABON BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008008","LAPINIGAN BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008009","SAPA BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166706","CLAVER","BHS",
"DOH000000000008011","VILLAFRANCA BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166711","GIGAQUIT","BHS",
"DOH000000000008015","SICO-SICO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166711","GIGAQUIT","BHS",
"DOH000000000008016","BAD-AS BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166717","PLACER","BHS",
"DOH000000000008017","TIMAMANA BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166727","TUBOD","BHS",
"DOH000000000008018","CAPAYAHAN BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166727","TUBOD","BHS",
"DOH000000000008022","MANSAYAO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166714","MAINIT","BHS",
"DOH000000000008024","SANTA CRUZ BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166717","PLACER","BHS",
"DOH000000000008025","TAGBONGABONG BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166717","PLACER","BHS",
"DOH000000000008026","LAKANDULA BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166717","PLACER","BHS",
"DOH000000000008027","CAMPO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166702","BACUAG","BHS",
"DOH000000000008028","CABUGAO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166702","BACUAG","BHS",
"DOH000000000008030","PAUTAO BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166702","BACUAG","BHS",
"DOH000000000008038","BUNYASAN BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166715","MALIMONO","BHS",
"DOH000000000008039","MASGAD BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166715","MALIMONO","BHS",
"DOH000000000008040","CANTAPOY BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166715","MALIMONO","BHS",
"DOH000000000008041","PILI BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166715","MALIMONO","BHS",
"DOH000000000008048","ALEGRIA BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166721","SANTA MONICA (SAPAO)","BHS",
"DOH000000000008049","LIBERTAD BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166721","SANTA MONICA (SAPAO)","BHS",
"DOH000000000008050","ABAD SANTOS BARANGAY HEALTH STATION",,"CARAGA","1667","SURIGAO DEL NORTE","166721","SANTA MONICA (SAPAO)","BHS",
"DOH000000000008111","POBLACION MOTHER BARANGAY HEALTH STATION A",,"Region 12","1298","CITY OF COTABATO","129804","COTABATO","BHS",
"DOH000000000008149","MANLABANG BARANGAY HEALTH STATION",,"Region 8","0878","BILIRAN","087804","CAIBIRAN","BHS",
"DOH000000000008159","SANTA CRUZ BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056202","BARCELONA","BHS",
"DOH000000000008162","BINOHANGAN BARANGAY HEALTH STATION",,"Region 8","0878","BILIRAN","087804","CAIBIRAN","BHS",
"DOH000000000008178","SWA BARANGAY HEALTH STATION",,"Region 6","0619","CAPIZ","061913","PRESIDENT ROXAS","BHS",
"DOH000000000008190","ARANGUEL BARANGAY HEALTH STATION",,"Region 6","0619","CAPIZ","061913","PRESIDENT ROXAS","BHS",
"DOH000000000008193","CABUGCABUG BARANGAY HEALTH STATION",,"Region 6","0619","CAPIZ","061913","PRESIDENT ROXAS","BHS",
"DOH000000000008194","NAVAL MAIN HEALTH CENTER I",,"Region 8","0878","BILIRAN","087808","NAVAL (Capital)","BHS",
"DOH000000000008209","LICO BARANGAY HEALTH STATION",,"Region 8","0878","BILIRAN","087808","NAVAL (Capital)","BHS",
"DOH000000000008222","MACABARI BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056202","BARCELONA","BHS",
"DOH000000000008230","M. ROXAS BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056203","BULAN","BHS",
"DOH000000000008231","CALOMAGON BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056203","BULAN","BHS",
"DOH000000000008232","DANAO BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056203","BULAN","BHS",
"DOH000000000008233","GATE BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056203","BULAN","BHS",
"DOH000000000008241","QUEZON BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056203","BULAN","BHS",
"DOH000000000008249","BASACDACU BARANGAY HEALTH STATION",,"Region 7","0712","BOHOL","071201","ALBURQUERQUE","BHS",
"DOH000000000008257","AYALA-ALABANG HEALTH CENTER","CITY GOVERNMENT OF MUNTINLUPA/AYALA ALABANG HEALTH CENTER","NCR","1376","NCR   FOURTH DISTRICT","137603","CITY OF MUNTINLUPA","BHS","P92027129"
"DOH000000000008279","BAGBAGUIN HEALTH CENTER","BAGBAGUIN HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026189"
"DOH000000000008323","CANLAAS BARANGAY HEALTH STATION",,"Region 7","0712","BOHOL","071204","ANTEQUERA","BHS",
"DOH000000000008369","BAGONG SILANG HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - BAGONG SILANG HEALTH CENTER ","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026258"
"DOH000000000008430","DOMROG BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082607","GENERAL MACARTHUR","BHS",
"DOH000000000008452","CASAY BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056205","CASIGURAN","BHS",
"DOH000000000008481","MILAGROSA BARANGAY HEALTH STATION",,"Region 5","0562","SORSOGON","056206","CASTILLA","BHS",
"DOH000000000008484","SAPAO BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082609","GUIUAN","BHS",
"DOH000000000008497","CARAGDA-O BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082609","GUIUAN","BHS",
"DOH000000000008525","BATANG BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082610","HERNANI","BHS",
"DOH000000000008528","CANCILEDES BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082610","HERNANI","BHS",
"DOH000000000008553","BOLUSAO BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082612","LAWAAN","BHS",
"DOH000000000008637","CANLOTERIO BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082615","MAYDOLONG","BHS",
"DOH000000000008641","CAMPAKIRIT BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082615","MAYDOLONG","BHS",
"DOH000000000008658","DAO BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082617","ORAS","BHS",
"DOH000000000008663","SAN EDUARDO BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082617","ORAS","BHS",
"DOH000000000008665","OFFICE OF THE HEALTH SERVICES OF COTABATO CITY","CHO- COTABATO CITY","Region 12","1298","CITY OF COTABATO","129804","COTABATO","RHU","P12025520"
"DOH000000000008680","DADIANGAS WEST BARANGAY HEALTH STATION","WEST RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126303","GENERAL SANTOS CITY (DADIANGAS)","BHS","P12025543"
"DOH000000000008687","APOPONG BARANGAY HEALTH STATION","APOPONG RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126303","GENERAL SANTOS CITY (DADIANGAS)","BHS","P12025552"
"DOH000000000008703","CADIAN BARANGAY HEALTH STATION",,"Region 8","0826","EASTERN SAMAR","082617","ORAS","BHS",
