"generic_code","generic_description"
"GUA12","GUAIFENESIN + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE + AMMONIUM NITRATE + SODIU"
"GUA13","GUAIFENESIN + SODIUM CITRATE"
"GUAI1","GUAIFENESIN + PHENYLPROPANOLAMINE HYDROCHLORIDE"
"GUAI2","GUAIFENESIN, AMMONIUM CHLORIDE, SODIUM CITRATE, CHLORPHENAMINE MALEATE"
"GUAI3","GUIAFENESIN + SODIUM CITRATE + OXELADIN CITRATE"
"GUAI4","GUAIFENESIN + FLUID EXTRACT OF IPECAC"
"GUAI5","GUAIFENESIN + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORAMPHENAMINE MALEATE + SODIUM CITRATE"
"GUAI6","GUAIFENESIN + SALBUTAMOL (AS SULFATE)"
"GUAI7","GUAIFENESIN + SALBUTAMOL"
"GUAI8","GUAIFENESIN + DEXTROMETHORPHAN HYDROBROMIDE + PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MAL"
"GUAI9","GUAIFENESIN + CHLORPHENAMINE MALEATE + PHENYLPROPANOLAMINE HYDROCHLORIDE"
"GUAIF","GUAIFENESIN"
"GYCER","GYCERYL + CHOLINE + SOYBEAN OIL"
"HACP1","HEMODIALYSIS ACID CONCENTRATE WITH POTASSIUM"
"HACP2","HEMODIALYSIS ACID CONCENTRATE WITHOUT POTASSIUM"
"HAEM1","HEMODIALYSIS BICARBONATE CONCENTRATE"
"HAEMO","HEMODIALYSIS ACID CONCENTRATE (DIALYSATE ACETATE BASED)"
"HALO1","HALOPERIDOL DECANOATE"
"HALOP","HALOPERIDOL"
"HALOT","HALOTHANE"
"HEMO1","HEMOPHILUS INFLUENZAE TYPE B (HIB) CONJUGATED VACCINE"
"HEMO2","HEMODIALYSIS CONCENTRATE"
"HEMOD","HEMODIALYSIS SOLUTION"
"HEMOP","HEMOPHILUS INFLUENZAE TYPE B (HIB) + DIPHTHERIA-TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE"
"HEP01","HEPARIN"
"HEPA1","HEPARIN (UNFRACTIONATED)"
"HEPA2","HEPATITIS A INACTIVATED VACCINE"
"HEPA3","HEPATITIS B IMMUNOGLOBULIN (HUMAN)"
"HEPA4","HEPATITIS B VACCINE (PLASMA DERIVED)"
"HEPA5","HEPATITIS B VACCINE (RECOMBINANT DNA)"
"HEPA6","HEPARIN (AS SODIUM)"
"HEPA7","HEPARIN (AS SODIUM) UNFRACTIONED"
"HEPAR","HEPARIN (LOW MOLECULAR WEIGHT)"
"HESO1","HEMODIALYSIS SOLUTION"
"HEXAC","HEXACHLOROPHENE"
"HEXET","HEXETIDINE"
"HEXYL","HEXYLRESORCINOL"
"HIGHL","HIGHLY REFINED FISH OIL"
"HOMAT","HOMATROPINE METHYLBROMIDE"
"HSS01","HYPERTONIC SALINE SOLUTION"
"HUMA1","HUMAN GROWTH HORMONE (BIOSYNTHETIC)"
"HUMA2","HUMAN MENOPAUSAL GONADOTROPHIN (HMG, MENOTROPHIN)"
"HUMA3","HUMAN BIPHASIC ISOPHANE INSULIN 30/70"
"HUMAN","HUMAN CHORIONIC GONADOTROPHIN (HCG)"
"HUMII","HUMAN ISOPHANE INSULIN"
"HUMRI","REGULAR, INSULIN (RECOMBINANT DNA, HUMAN)"
"HUMSO","HUMAN SOMATROPIN"
"HUPVT","HUMAN PAPILLOMAVIRUS VACCINE TYPE 16 & 18"
"HYALU","HYALURONATE SODIUM"
"HYD10","HYDROXYETHYL STARCH + SODIUM CHLORIDE"
"HYDAM","HYDROCORTISONE (AS ACETATE) + MICONAZOLE (AS NITRATE)"
"HYDHY","HYDRALAZINE HYDROCHLORIDE"
"HYDMH","HYDROTALCITE + MAGNESIUM HYDROXIDE + DIMETHICONE"
"HYDO1","HYDROCORTISONE CREAM"
"HYDO2","HYDROCORTISONE OINTMENT"
"HYDO3","HYDROCORTISONE LOTION"
"HYDQE","HYDROQUINONE"
"HYDR1","HYDROCORTISONE"
"HYDR2","HYDROCORTISONE + BACITRACIN + POLYMYCIN B. SULFATE + NEOMYCIN BASE"
"HYDR3","HYDROCORTISONE (AS SODIUM SUCCINATE)"
"HYDR4","HYDROGEN PEROXIDE"
"HYDR5","HYDROTALCITE + DICYCLOVERINE + SIMETHICONE"
"HYDR6","HYDROXOCOBALAMIN (VITAMIN B12)"
"HYDR7","HYDROXYCHLOROQUINE"
"HYDR8","HYDROXYETHYL STARCH"
"HYDR9","HYDROXYUREA"
"HYDRA","HYDRALAZINE"
"HYDRB","HYDROCORTISONE BUTYRATE"
"HYDRM","HYDROCORTISONE ACETATE + BENZOCAINE + BENZALKONIUM CHLORIDE + BISMUTH SUBGALLATE"
"HYDRO","HYDROCHLOROTHIAZIDE"
"HYDRS","HYDROXYCHLOROQUINE SULFATE"
"HYDRX","HYDROXYZINE"
"HYDTE","HYDROTALCITE"
"HYDTR","HYDROQUINONE + TRETINOIN"
"HYDXY","HYDROXYETHYLRUTOSIDE"
"HYDZ1","HYDROXYZINE DIHYDROCHLORIDE"
"HYDZ2","HYDROXYZINE HYDROCHLORIDE"
"HYOS1","HYOSCINE (AS N-BUTYLBROMIDE)"
"HYOS2","HYOSCINE BUTYLBROMIDE"
"HYOS3","HYOSCINE-N-BUTYLBROMIDE + PARACETAMOL"
"HYOS4","HYOSCINE (AS N-BUTYL BROMIDE)"
"HYOS5","HYOSCINE (AS HYDROBROMIDE)"
"HYOSC","HYOSCINE"
"HYP01","HYPERTONIC SALINE"
"HYPO1","HYPROMELLOSE"
"HYPO2","HYPROMELLOSE OPHTHALMIC SOLUTION"
"HYPRO","HYPROMELLOSE"
"HYS01","HYOSCINE"
"IBAND","IBANDRONIC ACID"
"IBUP1","IBUPROFEN + PARACETAMOL"
"IBUP2","IBUPROFEN (AS L-ARGININE)"
"IBUPR","IBUPROFEN"
"IDAR1","IDARUBICIN HYDROCHLORIDE"
"IDARU","IDARUBICIN"
"IFOSF","IFOSFAMIDE"
"IIH01","ISOPHANE INSULIN HUMAN"
"IMB69","IMATINIB"
"IMIDA","IMIDAZOLES (TOPICAL)"
"IMIGL","IMIGLUCERASE"
"IMIH1","IMIDAPRIL HYDROCHLORIDE + HYDROCHLOROTHIAZIDE"
"IMIHY","IMIDAPRIL HYDROCHLORIDE"
"IMIP1","IMIPRAMINE HYDROCHLORIDE"
"IMIP2","IMIPENEM (AS SODIUM) + CILASTATIN (AS SODIUM)"
"IMIPE","IMIPENEM + CILASTATIN"
"IMIPM","IMIPENEM (AS MONOHYDRATE) + CILASTATIN (AS SODIUM)"
"IMIPR","IMIPRAMINE"
"IMIPS","IMIPENEM + CILASTATIN (AS SODIUM)"
"IMIQU","IMIQUIMOD"
"IMMU1","IMMUNOGLOBULIN NORMAL, HUMAN (IGIV)"
"IMMUN","IMMUNOGLOBULIN NORMAL, HUMAN (IGIM)"
"INDAP","INDAPAMIDE"
"INDI1","INDINAVIR (AS SULFATE)"
"INDIN","INDINAVIR"
"INDOF","INDOMETHACIN FARNESIL"
"INDOM","INDOMETACIN"
"INFLU","INFLUENZA POLYVALENT"
"INFLX","INFLIXIMAB"
"INPOL","INACTIVATED POLIOMYELITIS VACCINE (TYPE 1, 2 & 3)"
"INSU1","INSULIN ISOPHANE HUMAN (BIOSYNTHETIC) 30/70"
"INSU2","INSULIN ISOPHANE HUMAN (DNA, NEUTRAL)"
"INSU3","INSULIN GLARGINE"
"INSU4","INSULIN DETEMIR"
"INSUL","INSULIN ZINC SUSPENSION (HUMAN)"
"INTE1","INTERFERON ALFA 2B (HUMAN)"
"INTE2","INTERFERON BETA-1A"
"INTER","INTERFERON ALFA 2A (HUMAN)"
"INTRA","INTRAOCULAR IRRIGATING SOLUTION (BALANCED SALT SOLUTION)"
"IOBIT","IOBITRIDOL"
"IODAM","IODAMIDE"
"IODIN","IODINE"
"IODIZ","IODIZED OIL FLUID"
"IOHEX","IOHEXOL"
"IOPAM","IOPAMIDOL"
"IOPRO","IOPROMIDE"
"IOTH1","IOTHALAMATE MEGLUMINE"
"IOTHA","IOTHALAMATE"
"IOVER","IOVERSOL"
"IOXIT","IOXITHALAMIC ACID"
"IPRA1","IPRATROPIUM + FENOTEROL"
"IPRA2","IPRATROPIUM + SALBUTAMOL"
"IPRAT","IPRATROPIUM"
"IPRB1","IPATROPIUM BROMIDE MONOHYDRATE + SALBUTAMOL SULFATE"
"IPRB2","IPRATROPIUM BROMIDE + SALBUTAMOL (AS SULFATE)"
"IPRBR","IPRATROPIUM BROMIDE"
"IPVA1","INFLUENZA POLYVALENT VACCINE"
"IRBE1","IRBESARTAN + HYDROCHLOROTHIAZIDE"
"IRBES","IRBESARTAN"
"IRE01","ISONIAZID + RIFAMPICIN + ETHAMBUTOL"
"IRIHY","IRINOTECAN HYDROCHLORIDE"
"IRINO","IRINOTECAN"
"IRO3H","IRON (III) HYDROXIDE POLYMALTOSE COMPLEX + FOLIC ACID"
"IRON1","IRON (III) HYDROXIDE POLYMALTOSE COMPLEX"
"IRON2","IRON + B COMPLEX"
"IRON3","IRON + MULTIVITAMINS"
"IRON4","IRON + VITAMIN B"
"IRON5","IRON DEXTRAN"
"IRON6","IRON, ELEMENTAL (AS FERROUS SULFATE 149.34MG) + THIAMINE HYDROCHLORIDE (VIT. B1) + PYRIDOXINE HYDROC"
"IRON7","IRON (AS AMINO ACID CHELATE) + ZINC (AS PICOLINATE) + FOLIC ACID + CYANOCOBALAMIN"
"IRON8","IRON POLYMALTOSE COMPLEX + FOLIC ACID"
"IRON9","IRON SUCROSE"
"IRONP","IRON POLYMALTOSE COMPLEX"
"IRP01","ISONIAZID + RIFAMPICIN + PYRAZINAMIDE"
"ISOC1","ISOCONAZOLE NITRATE + DIFLUCOTOLONE VALERATE"
"ISOCO","ISOCONAZOLE"
"ISOFL","ISOFLURANE"
"ISON1","ISONIAZID + ETHAMBUTOL"
"ISON2","ISONIAZID + PYRIDOXINE HYDROCHLORIDE"
"ISON3","ISONIAZID + RIFAMPICIN"
"ISON4","ISONIAZID + RIFAMPICIN + PYRAZINAMIDE"
"ISON5","ISONIAZID + RIFAMPICIN + PYRAZINAMIDE + ETHAMBUTOL"
"ISON6","ISONIAZID + THIACETAZONE"
"ISONI","ISONIAZID"
"ISOP1","ISOPHANE HUMAN INSULIN"
"ISOP2","ISOPHANE HUMAN INSULIN 30/70 (RECOMBINANT DNA ORIGIN)"
"ISOP3","ISOPHANE INSULIN (HUMAN MONOCOMPONENT)"
"ISOP4","ISOPHANE INSULIN (RDNA)"
"ISOP5","ISOPHANE INSULIN HUMAN (RECOMBINANT DNA ORIGIN)"
"ISOP6","ISOPHANE HUMAN INSULIN + NEUTRAL HUMAN INSULIN"
"ISOPH","ISOPHANE INSULIN HUMAN (RECOMBINANT DNA)"
"ISOS1","ISOSORBIDE-5-MONONITRATE"
"ISOSM","ISOSORBIDE MONONITRATE"
"ISOSO","ISOSORBIDE DINITRATE"
"ISOT1","ISOTRETINOIN"
"ISOTO","ISOTONIC SODIUM CHLORIDE"
"ISOX1","ISOXSUPRINE HYDROCHLORIDE"
"ISOXS","ISOXSUPRINE"
"ITOPR","ITOPRIDE HYDROCHLORIDE"
"ITRAC","ITRACONAZOLE"
"IVABR","IVABRADINE (AS HYDROCHLORIDE)"
"IVERM","IVERMECTIN"
"IVS01","INFLUENZA VACCINE (SPLIT VIRION, INACTIVATED)"
"JOSAM","JOSAMYCIN"
"KANA1","KANAMYCIN (AS SULFATE)"
"KANA2","KANAMYCIN ACID SULPHATE"
"KANAM","KANAMYCIN"
"KETA1","KETAMINE (AS HYDROCHLORIDE)"
"KETAM","KETAMINE"
"KETCN","KETOCONAZOLE + CLOBETASOL PROPIONATE + NEOMYCIN"
"KETCP","KETOCONAZOLE + CLOBETASOL PROPIONATE"
"KETF1","KETOTIFEN (AS HYDROGEN FUMARATE)"
"KETFU","KETOTIFEN (AS FUMARATE)"
"KETO1","KETOROLAC TROMETHAMINE"
"KETO2","KETOROLAC TROMETAMOL"
"KETOA","KETOANALOGUES + ESSENTIAL AMINO ACIDS"
"KETOC","KETOCONAZOLE"
"KETOP","KETOPROFEN"
"KETOR","KETOROLAC"
"KETOT","KETOTIFEN"
"L-ASP","L-ASPARAGINASE"
"LACID","LACIDIPINE"
"LACT1","LACTATED RINGER'S"
"LACTA","LACTATED RINGER'S SOLUTION"
"LACTU","LACTULOSE"
"LAGUN","LAGUNDI"
"LAM01","LAMOTRIGINE"
"LAMIV","LAMIVUDINE"
"LAMOT","LAMOTRIGINE"
"LANP1","LAPATINIB"
"LANPA","LAPATINIB (AS DITOSYLATE)"
"LANSO","LANSOPRAZOLE"
"LAT01","LAMIVUDINE + TENOFOVIR"
"LATA1","LATANOPROST + TIMOLOL (AS MALEATE)"
"LATAN","LATANOPROST"
"LAZ01","LAMIVUDINE + ZIDOVUDINE"
"LCARN","L-CARNITINE"
"LEFLU","LEFLUNOMIDE"
"LENOG","LENOGRASTIM"
"LERCA","LERCANIDIPINE"
"LET01","LAMIVUDINE + EFAVIRENZ + TENOFOVIR"
"LETRO","LETROZOLE"
"LEUCO","LEUCOVORIN CALCIUM"
"LEUCV","LEUCOVORIN"
"LEUPA","LEUPRORELIN ACETATE"
"LEUPR","LEUPRORELINE"
"LEVBH","LEVODOPA + BENSERAZIDE (AS HYDROCHLORIDE)"
"LEVET","LEVETIRACETAM"
"LEVO1","LEVODOPA + CARBIDOPA"
"LEVO2","LEVOFLOXACIN (AS HEMIHYDRATE)"
"LEVO3","LEVOMEPROMAZINE (AS MALEATE)"
"LEVO4","LEVOTHYROXINE SODIUM"
"LEVO5","LEVOCETIRIZINE"
"LEVO6","LEVODOPA + CARBIDOPA + ENTACAPONE"
"LEVOC","LEVOCETIRIZINE DIHYDROCHLORIDE"
"LEVOD","LEVODOPA + BENSERAZIDE"
"LEVOF","LEVOFLOXACIN"
"LEVOH","LEVOCETIRIZINE HYDROCHLORIDE"
"LEVON","LEVONORGESTREL"
"LEVOP","LEVOPROMAZINE"
"METH2","METHIXENE HCL; DIMETHYLPOLYSILOXANE; GLUTAMIC ACID HCL; SODIUM DEHYDROCHOLATE; PEPSIN; AMYLASE; LIPA"
"METH3","METHOTREXATE (AS SODIUM)"
"METH4","METHOTREXATE ACID"
"METH5","METHOTREXATE (AS DISODIUM)"
"METH6","METRONIDAZOLE + MICONAZOLE NITRATE"
"METHE","METHYL SALICYLATE + MENTHOL + EUGENOL"
"METHH","METHYLPHENIDATE HYDROCHLORIDE"
"METHI","METHIMAZOLE"
"METHM","METHYL SALICYLATE + MENTHOL + CAMPHOR + EUCALYPTUS OIL"
"METHO","METHOTREXATE"
"METHS","METHYL SALICYLATE + ESSENCE EUCALYPTUS + CAMPHOR POWDER + MENTHOL CRYSTALS"
"METHY","METHYLDOPA"
"METO1","METOCLOPRAMIDE (AS HYDROCHLORIDE)"
"METOC","METOCLOPRAMIDE"
"METOP","METOPROLOL"
"METP1","METOPROLOL (AS TARTRATE)"
"METP2","METOPROLOL SUCCINATE"
"METR1","METRONIDAZOLE + NYSTATIN"
"METR2","METRONIDAZOLE (AS BENZOYL METRONIDAZOLE)"
"METR3","METRONIDAZOLE ACID"
"METR4","METRONIDAZOLE (AS BENZOYL)"
"METR5","METRONIDAZOLE (AS BENZOATE)"
"METRO","METRONIDAZOLE"
"METY1","METHYLENE BLUE"
"METY2","METHYLERGOMETRINE"
"METY3","METHYLERGONOVINE"
"METY4","METHYLPHENIDATE"
"METY5","METHYLPREDNISOLONE"
"METY6","METHYLPREDNISOLONE (AS SODIUM SUCCINATE)"
"METY7","METHYLPREDNISOLONE ACEPONATE"
"METY8","METHYLPREDNISOLONE ACETATE"
"METY9","METHYLERGOMETRINE MALEATE"
"METZC","METHIONE - BOUND ZINC COMPLEX + PROVIDING ZINC"
"MICO1","MICONAZOLE"
"MICO2","MICONAZOLE + METRONIDAZOLE"
"MICO3","MICONAZOLE NITRATE + HYDROCORTISONE"
"MICO4","MICONAZOLE NITRATE + METRONIDAZOLE"
"MICO5","MICONAZOLE NITRATE + METRONIDAZOLE + LIDOCAINE"
"MICON","MICONAZOLE NITRATE"
"MICRO","MICRONUTRIENT"
"MIDAH","MIDAZOLAM (AS HYDROCHLORIDE)"
"MIDAZ","MIDAZOLAM"
"MINO1","MINOCYCLINE (AS HYDROCHLORIDE)"
"MINOC","MINOCYCLINE"
"MINOX","MINOXIDIL"
"MIRTA","MIRTAZAPINE"
"MITO1","MITOMYCIN C"
"MITOM","MITOMYCIN"
"MITOX","MITOXANTRONE"
"MITXH","MITOXANTRONE (AS HYDROCLORIDE)"
"MIVAC","MIVACURIUM"
"MLMAC","MULTIVITAMINS + MINERALS + AMINO ACIDS"
"MMDEA","MULTIVITAMINS + MINERALS + DHA + EPA"
"MODI1","MODIFIED FLUID GELATIN (FORMERLY POLYMESIRATE OF DEGRADED SUCCINYLATED GELATIN) PLASMA"
"MODIF","MODIFIED FLUID GELATIN (FORMERLY POLYMERISATE OF DEGRADED SUCCINYLATED GELATIN)"
"MOEXI","MOEXIPRIL HYDROCHLORIDE"
"MOL01","MOLGRAMOSTIN"
"MOLGR","MOLGRAMOSTIM (GM-CSF)"
"MOME1","MOMETASONE FUROATE (AS MONOHYDRATE)"
"MOME2","MOMETASONE FUROATE + SALICYLIC ACID"
"MOMET","MOMETASONE FUROATE"
"MONOB","MONOBASIC SODIUM PHOSPHATE, DIBASIC SODIUM PHOSPHATE"
"MONT1","MONTELUKAST (AS SODIUM)"
"MONTE","MONTELUKAST"
"MORP1","MORPHINE (AS SULFATE)"
"MORPH","MORPHINE"
"MOXI1","MOXIFLOXACIN (AS HYDROCHLORIDE)"
"MOXIF","MOXIFLOXACIN"
"MOXON","MOXONIDINE"
"MUCR1","MUPIROCIN"
"MULB1","MULTIVITAMINS + B COMPLEX + D + E + CALCIUM + LYSINE"
"MULB2","MULTIVITAMINS + BUCLIZINE"
"MULB3","MULTIVITAMINS + BUCLIZINE HYDROCHLORIDE"
"MULB4","MULTIVITAMINS + BUCLIZINE HYDROCHLORIDE + LYSINE HYDROCHLORIDE"
"MULBC","MULTIVITAMINS + B COMPLEX + ASCORBIC ACID + ZINC"
"MULDL","MULTIVITAMINS + MINERALS + DL-METHIONINE + INOSITOL + CHOLINE + FOLIC ACID + GINSENG"
"MULIF","MULTIVITAMINS + IRON WITH FOLIC ACID"
"MULIL","MULTIVITAMINS + IRON LIQUID"
"MULKG","MULTIVITAMINS + MINERALS + DEANOL + ROYAL JELLY + KOREAN PANAX GINSENG"
"MULLH","MULTIVITAMINS + LYSINE HYDROCHLORIDE"
"MULM1","MULTIVITAMINS + MINERALS + IRON W/ ZINC"
"MULMA","MULTIVITAMINS + MINERALS + AMINO ACID + GINSENG"
"MULMF","MULTIVITAMINS + MINERALS + FOLIC ACID"
"MULMH","MULTIVITAMINS + MINERALS + HERBS"
"MULMI","MULTIVITAMINS + MINERALS + IRON"
"MULML","MULTIVITAMINS + MINERALS + LYSINE"
"MULPA","MULTIVITAMINS + PARACETAMOL"
"MULSG","MULTIVITAMINS + MINERALS + SIBERIAN GINSENG + LECITHIN"
"MULT1","MULTIVITAMIN + MINERALS + AMINO ACIDS"
"MULT2","MULTIVITAMINS"
"MULT3","MULTIVITAMINS + FDC"
"MULT4","MULTIVITAMINS + IRON"
"MULT5","MULTIVITAMINS + MINERALS"
"MULT6","MULTIVITAMINS + MINERALS + DEANOL + GINSENG EXTRACT"
"MULT7","MULTIVITAMINS LYOPHILIZED"
"MULT8","MULTIVITAMINS WITH SIBERIAN GINSENG"
"MULT9","MULTIVITAMINS + AMINO ACIDS"
"MULTC","MULTIVITAMINS + CALCIUM"
"MULTD","MULTIVITAMINS + DEXTROSE"
"MULTF","MULTIVITAMINS + FLUORIDE + IRON"
"MULTI","MULTIVITAMIN + LYSINE"
"MULTT","MULTIVITAMINS WITH TAURINE"
"MULZC","MULTIVITAMINS + ZINC"
"MULZT","MULTIVITAMINS + LYSINE + ZINC + TAURINE"
"MUMIF","MULTIVITAMINS + MINERALS + IRON + FOLIC ACID"
"MUPI1","MUPIROCIN CALCIUM"
"MUPIR","MUPIROCIN"
"MUPOI","MUPIROCIN"
"MUZLT","MULTIVITAMINS + ZINC + LYSINE + TAURINE + CHLORELLA GROWTH FACTOR"
"MYA01","MYCOPHENOLIC ACID"
"MYCO1","MYCOPHENOLIC ACID ( AS MYCOPHENOLATE SODIUM)"
"MYCOP","MYCOPHENOLATE MOFETIL"
"N-2LA","N(2)-L-ALANYL-L-GLUTAMINE"
"N-ACE","N-ACETYL PENICILLAMINE"
"N-ACT","N-ACETYLCYSTEINE"
"N-PIB","N-PROPANOL + ISOPROPYL ALCOHOL + BENZALKONIUM CHLORIDE"
"NABUM","NABUMETONE"
"NADR1","NADROPARIN CALCIUM"
"NADRO","NADROPARIN"
"NALB1","NALBUPHINE HYDROCHLORIDE"
"NALBU","NALBUPHINE"
"NALID","NALIDIXIC ACID"
"NALO2","NALOXONE HYDROCHLORIDE"
"NALOX","NALOXONE"
"NALTR","NALTREXONE"
"NAPH1","NAPHAZOLINE (AS HYDROCHLORIDE) + PHENIRAMINE (AS MALEATE)"
"NAPH2","NAPHAZOLINE HYDROCHLORIDE"
"NAPHA","NAPHAZOLINE NITRATE + ZINC SULFATE"
"NAPR1","NAPROXEN SODIUM"
"NAPRO","NAPROXEN"
"NATUR","NATURAL CAROTENOIDS + VITAMINS + MINERALS"
"NEBIV","NEBIVOLOL (AS HYDROCHLORIDE)"
"NELFI","NELFINAVIR"
"NEOM1","NEOMYCIN (AS SULFATE) + POLYMYXIN B (AS SULFATE) + BACITRACIN"
"NEOM2","NEOMYCIN SULFATE + FLUOCINOLONE ACETONIDE"
"NEOMY","NEOMYCIN + POLYMYXIN B + FLUOCINOLONE ACETONIDE"
"NEOS1","NEOSTIGMINE METHYLSULFATE"
"NEOST","NEOSTIGMINE"
"NEOSU","NEOMYCIN SULFATE + POLYMYCIN SULFATE + DEXAMETHASONE"
"NEPAF","NEPAFENAC"
"NETI1","NETILMICIN (AS SULFATE)"
"NETIL","NETILMICIN"
"NEUTR","NEUTRAL INSULIN HUMAN + ISOPHANE INSULIN HUMAN, RECOMBINANT DNA"
"NEVIR","NEVIRAPINE"
"NICA1","NICARDIPINE HYDROCHLORIDE"
"NICAR","NICARDIPINE"
"NICB3","NICOTINAMIDE (VITAMIN B3)"
"NICO1","NICOTINIC ACID"
"NICO2","NICOTINE TRANSDERMAL THERAPEUTIC SYSTEM"
"NICOP","NICOTINE POLACRILEX"
"NICOR","NICORANDRIL"
"NICOT","NICOTINAMIDE"
"NIFED","NIFEDIPINE"
"NIFUR","NIFUROXAZIDE"
"NIMOD","NIMODIPINE"
"NIMOT","NIMOTUZUMAB"
"NITR1","NITROGLYCERIN"
"NITR2","NITROUS OXIDE"
"NITR3","NITROFURANTOIN (AS MACROCRYSTALS)"
"NITR4","NITROFURAZONE"
"NITRO","NITROFURANTOIN"
"NIZAT","NIZATIDINE"
"NOMED","DRUGS AND MEDICINES NOT NEEDED DURING THIS PARTICULAR EPISODE OF CARE"
"NORAT","NORADRENALINE (AS TARTRATE)"
"NORE1","NOREPINEPHRINE"
"NOREB","NOREPINEPHRINE (AS BITARTATE)"
"NOREP","NOREPHEDRINE"
"NORES","NORESTHISTERONE + ETINYL ESTRADIOL"
"NORET","NORETHISTERONE"
"NORFL","NORFLOXACIN"
"NORGE","NORGESTREL + ETHINYLESTRADIOL"
"NPFA1","NEOMYCIN + POLYMYXIN B + FLUOCINOLONE ACETONIDE EAR DROPS"
"NYSTA","NYSTATIN"
"OCTR1","OCTREOTIDE (AS ACETATE)"
"OCTRE","OCTREOTIDE"
"OFL01","OFLOXACIN EAR DROPS"
"OFL02","OFLOXACIN"
"OFLOH","OFLOXACIN (AS HYDROCHLORIDE)"
"OFLOX","OFLOXACIN"
"OLANZ","OLANZAPINE"
"OLME1","OLMESARTAN MEDOXMIL + HYDROCHLOROTHIAZIDE"
"OLMES","OLMESARTAN MEDOXOMIL"
"OLOPA","OLOPATADINE (AS HYDROCHLORIDE)"
"OMEP1","OMEPRAZOLE"
"OMEP2","OMEPRAZOLE (AS SODIUM)"
"OMEPR","OMEPRAZOLE"
"OND01","ONDANSETRON"
"ONDA1","ONDANSETRON (AS HYDROCHLORIDE)"
"ONDA2","ONDANSETRON (AS HYDROCHLORIDE DIHYDRATE)"
"ONDAN","ONDANSENTRON"
"ORAL1","ORAL MAINTENANCE SALTS (OMS)"
"ORAL2","ORAL REHYDRATION SALTS (ORS 75-REPLACEMENT)"
"ORAL3","ORAL REHYDRATION SALTS (ORS 90-REPLACEMENT)"
"ORAL4","ORAL REHYDRATION SALTS + ZINC"
"ORALS","ORAL REHYDRATION SALT"
"ORCIP","ORCIPRENALINE SULFATE + BROMHEXINE HYDROCHLORIDE"
"ORLIS","ORLISTAT"
"ORPHE","ORPHENADRINE CITRATE + PARACETAMOL"
"ORSR1","ORESOL REFORMULATED"
"OSEL1","OSELTAMIVIR (AS PHOSPHATE)"
"OSEL2","OSELTAMIVIR (AS PHOSPHATE) (STRICTLY FOR DOH USE ONLY)"
"OSELT","OSELTAMIVIR"
"OXACI","OXACILLIN"
"OXACS","OXACILLIN (AS SODIUM)"
"OXALI","OXALIPLATIN"
"OXAN1","OXANTEL EMBONATE + PYRANTEL EMBONATE"
"OXANT","OXANTEL + PYRANTEL"
"OXC01","OXCARBAZEPINE"
"OXCAR","OXCARBAZEPINE"
"OXETA","OXETACAINE + MAGNESIUM HYDROXIDE + ALUMINUM HYDROXIDE"
"OXYBU","OXYBUTYNINE HYDROCHLORIDE"
"OXYC1","OXYCODONE (AS HYDROCHLORIDE)"
"OXYCO","OXYCODONE"
"OXYGE","OXYGEN"
"OXYME","OXYMETAZOLINE"
"OXYMH","OXYMETAZOLINE HYDROCHLORIDE"
"OXYT1","OXYTETRACYCLINE HCL / POLYMYXIN B SULFATE"
"OXYTE","OXYTETRACYCLINE"
"OXYTO","OXYTOCIN"
"PACLI","PACLITAXEL"
"PAMID","PAMIDRONATE DISODIUM"
"PANCR","PANCREATIN"
"PANCU","PANCURONIUM"
"PANT1","PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE)"
"PANT2","PANTOPRAZOLE (AS SODIUM)"
"PANT3","PANTOPRAZOLE (AS SODIUM) + SODIUM CHLORIDE"
"PANTO","PANTOPRAZOLE"
"PAR10","PARACETAMOL + TRAMADOL HYDROCHLORIDE"
"PARA1","PARACETAMOL + IBUPROFEN"
"PARA2","PARACETAMOL + PHENYLPROPANOLAMINE"
"PARA3","PARACETAMOL + PHENYLPROPANOLAMINE HCL + CHLORPHENAMINE MALEATE"
"PARA4","PARACETAMOL + PHENYLPROPANOLAMINE HCL + PHENYLTOLOXAMINE CITRATE"
"PARA5","PARACETAMOL + THIAMINE MONONITRATE + PYRIDOXINE HCI + CYANCOBALAMIN"
"PARA6","PARACETAMOL + PHENYLEPHRINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE"
"PARA7","PARACETAMOL + PHENYLEPHRINE HYDROCHLORIDE + DEXTHROMETHORPHAN HYDROBROMIDE"
"PARA8","PARACETAMOL + ORPHENADINTE CITRATE"
"PARA9","PARACETAMOL + PHENYLEPHRINE HYDROCHLORIDE"
"PARAC","PARACETAMOL"
"PARCF","PARACETAMOL + CAFFEINE"
"PARDH","PARACETAMOL + DIPHENHYDRAMINE HYDROCHLORIDE"
"PAREC","PARECOXIB (AS SODIUM) + SODIUM CHLORIDE"
"PARIC","PARICALCITOL"
"PARO1","PAROXETINE"
"PARO2","PAROXETINE (AS HYDROCHLORIDE)"
"PAROX","PAROXETINE (AS HYDROCHLORIDE ANHYDRATE)"
