"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"BARANGAY 3 BARANGAY HEALTH STATION",,"DOH000000000024469","08","0848","NORTHERN SAMAR","084804","CAPUL","BHS",
"BARANGAY 5 (POB.) BARANGAY HEALTH STATION",,"DOH000000000024473","04","0456","QUEZON","045624","LUCENA CITY (Capital)","BHS",
"BARANGAY 6 (POB.) BARANGAY HEALTH STATION",,"DOH000000000024474","04","0456","QUEZON","045624","LUCENA CITY (Capital)","BHS",
"DALAHICAN BARANGAY HEALTH STATION II",,"DOH000000000024475","04","0456","QUEZON","045624","LUCENA CITY (Capital)","BHS",
"BAUCAN SUR BARANGAY HEALTH STATION",,"DOH000000000024476","07","0712","BOHOL","071206","BALILIHAN","BHS",
"HINGOTANAN EAST BARANGAY HEALTH STATION",,"DOH000000000024477","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"LIBERTY BARANGAY HEALTH STATION",,"DOH000000000024478","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"MALINGIN BARANGAY HEALTH STATION",,"DOH000000000024479","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"MAOMAWAN BARANGAY HEALTH STATION",,"DOH000000000024480","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"NUEVA ESPERANZA BARANGAY HEALTH STATION",,"DOH000000000024481","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"NUEVA ESTRELLA BARANGAY HEALTH STATION",,"DOH000000000024482","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"PINAMGO BARANGAY HEALTH STATION",,"DOH000000000024483","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"PUERTO SAN PEDRO BARANGAY HEALTH STATION",,"DOH000000000024484","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"SAGASA BARANGAY HEALTH STATION",,"DOH000000000024485","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"TUBORAN BARANGAY HEALTH STATION",,"DOH000000000024486","07","0712","BOHOL","071248","BIEN UNIDO","BHS",
"CADAPDAPAN BARANGAY HEALTH STATION",,"DOH000000000024500","07","0712","BOHOL","071211","CANDIJAY","BHS",
"CANAWA BARANGAY HEALTH STATION",,"DOH000000000024501","07","0712","BOHOL","071211","CANDIJAY","BHS",
"CAN-OLIN BARANGAY HEALTH STATION",,"DOH000000000024502","07","0712","BOHOL","071211","CANDIJAY","BHS",
"LUAN BARANGAY HEALTH STATION",,"DOH000000000024503","07","0712","BOHOL","071211","CANDIJAY","BHS",
"PANADTARAN BARANGAY HEALTH STATION",,"DOH000000000024504","07","0712","BOHOL","071211","CANDIJAY","BHS",
"PANAS BARANGAY HEALTH STATION",,"DOH000000000024505","07","0712","BOHOL","071211","CANDIJAY","BHS",
"TAWID BARANGAY HEALTH STATION",,"DOH000000000024507","07","0712","BOHOL","071211","CANDIJAY","BHS",
"TUGAS BARANGAY HEALTH STATION",,"DOH000000000024509","07","0712","BOHOL","071211","CANDIJAY","BHS",
"EL PROGRESO BARANGAY HEALTH STATION",,"DOH000000000024510","07","0712","BOHOL","071212","CARMEN","BHS",
"EL SALVADOR BARANGAY HEALTH STATION",,"DOH000000000024511","07","0712","BOHOL","071212","CARMEN","BHS",
"LA LIBERTAD BARANGAY HEALTH STATION",,"DOH000000000024512","07","0712","BOHOL","071212","CARMEN","BHS",
"LA PAZ BARANGAY HEALTH STATION",,"DOH000000000024513","07","0712","BOHOL","071212","CARMEN","BHS",
"LA SALVACION BARANGAY HEALTH STATION",,"DOH000000000024514","07","0712","BOHOL","071212","CARMEN","BHS",
"LA VICTORIA BARANGAY HEALTH STATION",,"DOH000000000024515","07","0712","BOHOL","071212","CARMEN","BHS",
"MONTEHERMOSO BARANGAY HEALTH STATION",,"DOH000000000024516","07","0712","BOHOL","071212","CARMEN","BHS",
"TAMBO-AN BARANGAY HEALTH STATION",,"DOH000000000024517","07","0712","BOHOL","071212","CARMEN","BHS",
"VILLAFUERTE BARANGAY HEALTH STATION",,"DOH000000000024518","07","0712","BOHOL","071212","CARMEN","BHS",
"VILLARCAYO BARANGAY HEALTH STATION",,"DOH000000000024519","07","0712","BOHOL","071212","CARMEN","BHS",
"AMBUAN BARANGAY HEALTH CENTER",,"DOH000000000024520","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"HAGUILANAN BARANGAY HEALTH STATION",,"DOH000000000024521","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"KANG-IRAS BARANGAY HEALTH STATION",,"DOH000000000024522","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"LIBORON BARANGAY HEALTH STATION",,"DOH000000000024523","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"MAHAYAG NORTE HEALTH CENTER",,"DOH000000000024524","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"MANTASIDA BARANGAY HEALTH STATION",,"DOH000000000024525","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"RIZAL BARANGAY HEALTH STATION",,"DOH000000000024526","07","0712","BOHOL","071213","CATIGBIAN","BHS",
"DANAO  BARANGAY HEALTH STATION",,"DOH000000000024543","07","0712","BOHOL","071221","DUERO","BHS",
"IMELDA BARANGAY HEALTH STATION",,"DOH000000000024545","07","0712","BOHOL","071221","DUERO","BHS",
"BIABAS BARANGAY HEALTH STATION",,"DOH000000000024552","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"CABANTIAN BARANGAY HEALTH STATION",,"DOH000000000024553","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"CASBU HEALTH CENTER",,"DOH000000000024554","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"CATUNGAWAN NORTE HEALTH CENTER",,"DOH000000000024555","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"CATUNGAWAN SUR BARANGAY HEALTH STATION",,"DOH000000000024556","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"GUINACOT BARANGAY HEALTH STATION",,"DOH000000000024557","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"GUIO-ANG HEALTH CENTER",,"DOH000000000024558","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"TABUNOC HEALTH CENTER",,"DOH000000000024559","07","0712","BOHOL","071223","GUINDULMAN","BHS",
"CAGAWASAN BARANGAY HEALTH STATION",,"DOH000000000024560","07","0712","BOHOL","071224","INABANGA","BHS",
"LOMBOY BARANGAY HEALTH STATION",,"DOH000000000024561","07","0712","BOHOL","071224","INABANGA","BHS",
"TUBOD MONTE BARANGAY HEALTH STATION",,"DOH000000000024564","07","0712","BOHOL","071225","JAGNA","BHS",
"ALUMAR BARANGAY HEALTH STATION",,"DOH000000000024565","07","0712","BOHOL","071226","JETAFE","BHS",
"BANACON BARANGAY HEALTH STATION",,"DOH000000000024566","07","0712","BOHOL","071226","JETAFE","BHS",
"BUYOG BARANGAY HEALTH STATION",,"DOH000000000024567","07","0712","BOHOL","071226","JETAFE","BHS",
"CABASAKAN BARANGAY HEALTH STATION",,"DOH000000000024568","07","0712","BOHOL","071226","JETAFE","BHS",
"CANGMUNDO BARANGAY HEALTH STATION",,"DOH000000000024569","07","0712","BOHOL","071226","JETAFE","BHS",
"CARLOS P. GARCIA BARANGAY HEALTH STATION",,"DOH000000000024570","07","0712","BOHOL","071226","JETAFE","BHS",
"CORTE BAUD BARANGAY HEALTH STATION",,"DOH000000000024571","07","0712","BOHOL","071226","JETAFE","BHS",
"HANDUMON BARANGAY HEALTH STATION",,"DOH000000000024572","07","0712","BOHOL","071226","JETAFE","BHS",
"JAGOLIAO BARANGAY HEALTH STATION",,"DOH000000000024573","07","0712","BOHOL","071226","JETAFE","BHS",
"JANDAYAN NORTE BARANGAY HEALTH STATION",,"DOH000000000024574","07","0712","BOHOL","071226","JETAFE","BHS",
"JANDAYAN SUR BARANGAY HEALTH STATION",,"DOH000000000024575","07","0712","BOHOL","071226","JETAFE","BHS",
"MAHANAY BARANGAY HEALTH STATION",,"DOH000000000024576","07","0712","BOHOL","071226","JETAFE","BHS",
"NASINGIN BARANGAY HEALTH STATION",,"DOH000000000024577","07","0712","BOHOL","071226","JETAFE","BHS",
"PANDANON BARANGAY HEALTH STATION",,"DOH000000000024578","07","0712","BOHOL","071226","JETAFE","BHS",
"POBLACION BARANGAY HEALTH STATION",,"DOH000000000024579","07","0712","BOHOL","071226","JETAFE","BHS",
"SAGUISE BARANGAY HEALTH STATION",,"DOH000000000024580","07","0712","BOHOL","071226","JETAFE","BHS",
"SALOG BARANGAY HEALTH STATION",,"DOH000000000024581","07","0712","BOHOL","071226","JETAFE","BHS",
"SAN JOSE BARANGAY HEALTH STATION",,"DOH000000000024582","07","0712","BOHOL","071226","JETAFE","BHS",
"SANTO NIÃ‘O BARANGAY HEALTH STATION",,"DOH000000000024583","07","0712","BOHOL","071226","JETAFE","BHS",
"TAYTAY BARANGAY HEALTH STATION",,"DOH000000000024584","07","0712","BOHOL","071226","JETAFE","BHS",
"TUGAS BARANGAY HEALTH STATION",,"DOH000000000024585","07","0712","BOHOL","071226","JETAFE","BHS",
"TULANG BARANGAY HEALTH STATION",,"DOH000000000024586","07","0712","BOHOL","071226","JETAFE","BHS",
"BONKOKAN UBOS BARANGAY HEALTH STATION",,"DOH000000000024588","07","0712","BOHOL","071227","LILA","BHS",
"LAS SALINAS SUR BARANGAY HEALTH STATION",,"DOH000000000024599","07","0712","BOHOL","071228","LOAY","BHS",
"TOCDOG DACU BARANGAY HEALTH STATION",,"DOH000000000024602","07","0712","BOHOL","071228","LOAY","BHS",
"CALUNASAN NORTE BARANGAY HEALTH STATION",,"DOH000000000024604","07","0712","BOHOL","071229","LOBOC","BHS",
"GOTOZON BARANGAY HEALTH STATION",,"DOH000000000024605","07","0712","BOHOL","071229","LOBOC","BHS",
"QUINOGUITAN BARANGAY HEALTH STATION",,"DOH000000000024606","07","0712","BOHOL","071229","LOBOC","BHS",
"BADBAD ORIENTAL BARANGAY HEALTH STATION",,"DOH000000000024607","07","0712","BOHOL","071230","LOON","BHS",
"CALAYUGAN NORTE BARANGAY HEALTH STATION",,"DOH000000000024608","07","0712","BOHOL","071230","LOON","BHS",
"CANSUBAYON BARANGAY HEALTH STATION",,"DOH000000000024609","07","0712","BOHOL","071230","LOON","BHS",
"CANTAONGON BARANGAY HEALTH STATION",,"DOH000000000024610","07","0712","BOHOL","071230","LOON","BHS",
"LINTUAN BARANGAY HEALTH STATION",,"DOH000000000024611","07","0712","BOHOL","071230","LOON","BHS",
"PANANGQUILON BARANGAY HEALTH STATION",,"DOH000000000024612","07","0712","BOHOL","071230","LOON","BHS",
"ABACA BARANGAY HEALTH STATION",,"DOH000000000024613","07","0712","BOHOL","071231","MABINI","BHS",
"ABAD SANTOS BARANGAY HEALTH STATION",,"DOH000000000024614","07","0712","BOHOL","071231","MABINI","BHS",
"CONCEPCION BARANGAY HEALTH STATION",,"DOH000000000024617","07","0712","BOHOL","071231","MABINI","BHS",
"MARCELO BARANGAY HEALTH STATION",,"DOH000000000024618","07","0712","BOHOL","071231","MABINI","BHS",
"SAN ROQUE BARANGAY HEALTH STATION",,"DOH000000000024619","07","0712","BOHOL","071231","MABINI","BHS",
"DEL PILAR BARANGAY HEALTH STATION",,"DOH000000000024629","07","0712","BOHOL","071234","PILAR","BHS",
"ILAUD BARANGAY HEALTH STATION",,"DOH000000000024630","07","0712","BOHOL","071234","PILAR","BHS",
"LUNDAG BARANGAY HEALTH STATION",,"DOH000000000024632","07","0712","BOHOL","071234","PILAR","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000024635","07","0712","BOHOL","071234","PILAR","BHS",
"BAUD BARANGAY HEALTH STATION",,"DOH000000000024636","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"BAYOG BARANGAY HEALTH STATION",,"DOH000000000024637","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"BOGO BARANGAY HEALTH STATION",,"DOH000000000024638","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"CAMPAMANOG HEALTH CENTER",,"DOH000000000024639","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"CANMANGAO BARANGAY HEALTH CENTER",,"DOH000000000024640","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"LIPATA BARANGAY HEALTH CENTER",,"DOH000000000024641","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"SAGUISE BARANGAY HEALTH CENTER",,"DOH000000000024642","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"SAN VICENTE BARANGAY HEALTH CENTER",,"DOH000000000024643","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"SANTO ROSARIO BARANGAY HEALTH STATION",,"DOH000000000024644","07","0712","BOHOL","071235","PRES. CARLOS P. GARCIA (PITOGO)","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000024645","07","0712","BOHOL","071236","SAGBAYAN (BORJA)","BHS",
"ABEHILAN BARANGAY HEALTH STATION",,"DOH000000000024646","07","0712","BOHOL","071237","SAN ISIDRO","BHS",
"MASONOY BARANGAY HEALTH STATION",,"DOH000000000024647","07","0712","BOHOL","071237","SAN ISIDRO","BHS",
"MAHAYAG BARANGAY HEALTH STATION",,"DOH000000000024648","07","0712","BOHOL","071238","SAN MIGUEL","BHS",
"SANTO NIÃ‘O BARANGAY HEALTH STATION",,"DOH000000000024649","07","0712","BOHOL","071238","SAN MIGUEL","BHS",
"LAGTANGAN BARANGAY HEALTH STATION",,"DOH000000000024651","07","0712","BOHOL","071239","SEVILLA","BHS",
"SALVADOR BARANGAY HEALTH STATION",,"DOH000000000024653","07","0712","BOHOL","071240","SIERRA BULLONES","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000024655","07","0712","BOHOL","071240","SIERRA BULLONES","BHS",
"MAHAGBU BARANGAY HEALTH STATION",,"DOH000000000024656","07","0712","BOHOL","071244","TRINIDAD","BHS",
"MANUEL M. ROXAS BARANGAY HEALTH STATION",,"DOH000000000024657","07","0712","BOHOL","071244","TRINIDAD","BHS",
"POBLACION BARANGAY HEALTH STATION",,"DOH000000000024658","07","0712","BOHOL","071244","TRINIDAD","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000024659","07","0712","BOHOL","071244","TRINIDAD","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000024660","07","0712","BOHOL","071244","TRINIDAD","BHS",
"SANTO TOMAS BARANGAY HEALTH STATION",,"DOH000000000024661","07","0712","BOHOL","071244","TRINIDAD","BHS",
"SOOM BARANGAY HEALTH STATION",,"DOH000000000024662","07","0712","BOHOL","071244","TRINIDAD","BHS",
"TAGUM NORTE BARANGAY HEALTH STATION",,"DOH000000000024663","07","0712","BOHOL","071244","TRINIDAD","BHS",
"TAGUM SUR BARANGAY HEALTH STATION",,"DOH000000000024664","07","0712","BOHOL","071244","TRINIDAD","BHS",
"BUENOS AIRES BARANGAY HEALTH STATION",,"DOH000000000024666","07","0712","BOHOL","071245","TUBIGON","BHS",
"PINAYAGAN SUR BARANGAY HEALTH STATION",,"DOH000000000024672","07","0712","BOHOL","071245","TUBIGON","BHS",
"ACHILA BARANGAY HEALTH STATION",,"DOH000000000024673","07","0712","BOHOL","071246","UBAY","BHS",
"BAY-ANG BARANGAY HEALTH STATION",,"DOH000000000024674","07","0712","BOHOL","071246","UBAY","BHS",
"BENLIW BARANGAY HEALTH STATION",,"DOH000000000024675","07","0712","BOHOL","071246","UBAY","BHS",
"BOOD BARANGAY HEALTH STATION",,"DOH000000000024676","07","0712","BOHOL","071246","UBAY","BHS",
"BULILIS BARANGAY HEALTH STATION",,"DOH000000000024677","07","0712","BOHOL","071246","UBAY","BHS",
"CAGTING BARANGAY HEALTH STATION",,"DOH000000000024678","07","0712","BOHOL","071246","UBAY","BHS",
"CAMALI-AN BARANGAY HEALTH STATION",,"DOH000000000024680","07","0712","BOHOL","071246","UBAY","BHS",
"CAMAMBUGAN BARANGAY HEALTH STATION",,"DOH000000000024681","07","0712","BOHOL","071246","UBAY","BHS",
"CASATE BARANGAY HEALTH STATION",,"DOH000000000024682","07","0712","BOHOL","071246","UBAY","BHS",
"CUYA BARANGAY HEALTH STATION",,"DOH000000000024683","07","0712","BOHOL","071246","UBAY","BHS",
"GABI BARANGAY HEALTH STATION",,"DOH000000000024684","07","0712","BOHOL","071246","UBAY","BHS",
"GOVERNOR BOYLES BARANGAY HEALTH STATION",,"DOH000000000024685","07","0712","BOHOL","071246","UBAY","BHS",
"GUINTABO-AN BARANGAY HEALTH STATION",,"DOH000000000024686","07","0712","BOHOL","071246","UBAY","BHS",
"HAMBABAURAN BARANGAY HEALTH STATION",,"DOH000000000024687","07","0712","BOHOL","071246","UBAY","BHS",
"HUMAYHUMAY BARANGAY HEALTH STATION AND BIRTHING CENTER",,"DOH000000000024688","07","0712","BOHOL","071246","UBAY","BHS",
"IMELDA BARANGAY HEALTH STATION",,"DOH000000000024689","07","0712","BOHOL","071246","UBAY","BHS",
"KATARUNGAN BARANGAY HEALTH STATION",,"DOH000000000024690","07","0712","BOHOL","071246","UBAY","BHS",
"LOS ANGELES BARANGAY HEALTH STATION",,"DOH000000000024691","07","0712","BOHOL","071246","UBAY","BHS",
"PAG-ASA BARANGAY HEALTH STATION",,"DOH000000000024692","07","0712","BOHOL","071246","UBAY","BHS",
"PANGPANG BARANGAY HEALTH STATION",,"DOH000000000024693","07","0712","BOHOL","071246","UBAY","BHS",
"SAN FRANCISCO BARANGAY HEALTH STATION",,"DOH000000000024694","07","0712","BOHOL","071246","UBAY","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000024695","07","0712","BOHOL","071246","UBAY","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000024696","07","0712","BOHOL","071246","UBAY","BHS",
"BAGACAY BARANGAY HEALTH STATION",,"DOH000000000024698","07","0712","BOHOL","071243","TALIBON","BHS",
"SINANDIGAN BARANGAY HEALTH STATION",,"DOH000000000024699","07","0712","BOHOL","071246","UBAY","BHS",
"TAPON BARANGAY HEALTH STATION",,"DOH000000000024700","07","0712","BOHOL","071246","UBAY","BHS",
"TINTINAN BARANGAY HEALTH STATION",,"DOH000000000024701","07","0712","BOHOL","071246","UBAY","BHS",
"TUBORAN BARANGAY HEALTH STATION",,"DOH000000000024702","07","0712","BOHOL","071246","UBAY","BHS",
"VILLA TERESITA BARANGAY HEALTH STATION",,"DOH000000000024703","07","0712","BOHOL","071246","UBAY","BHS",
"ADLAWAN BARANGAY HEALTH STATION",,"DOH000000000024704","07","0712","BOHOL","071247","VALENCIA","BHS",
"ANAS BARANGAY HEALTH STATION",,"DOH000000000024705","07","0712","BOHOL","071247","VALENCIA","BHS",
"ANONANG BARANGAY HEALTH STATION",,"DOH000000000024706","07","0712","BOHOL","071247","VALENCIA","BHS",
"ANOYON BARANGAY HEALTH STATION",,"DOH000000000024707","07","0712","BOHOL","071247","VALENCIA","BHS",
"BANDERAHAN (UPPER GINOPOLAN) BARANGAY HEALTH STATION",,"DOH000000000024708","07","0712","BOHOL","071247","VALENCIA","BHS",
"BOTONG BARANGAY HEALTH STATION",,"DOH000000000024709","07","0712","BOHOL","071247","VALENCIA","BHS",
"BUYOG BARANGAY HEALTH STATION",,"DOH000000000024710","07","0712","BOHOL","071247","VALENCIA","BHS",
"CANDUAO OCCIDENTAL BARANGAY HEALTH STATION",,"DOH000000000024711","07","0712","BOHOL","071247","VALENCIA","BHS",
"CANDUAO ORIENTAL BARANGAY HEALTH STATION",,"DOH000000000024712","07","0712","BOHOL","071247","VALENCIA","BHS",
"CANMANICO BARANGAY HEALTH STATION",,"DOH000000000024713","07","0712","BOHOL","071247","VALENCIA","BHS",
"CANSIBAO BARANGAY HEALTH STATION",,"DOH000000000024714","07","0712","BOHOL","071247","VALENCIA","BHS",
"CATUG-A BARANGAY HEALTH STATION",,"DOH000000000024715","07","0712","BOHOL","071247","VALENCIA","BHS",
"DANAO BARANGAY HEALTH STATION",,"DOH000000000024716","07","0712","BOHOL","071247","VALENCIA","BHS",
"GINOPOLAN (GINOPOLAN PROPER) BARANGAY HEALTH STATION",,"DOH000000000024717","07","0712","BOHOL","071247","VALENCIA","BHS",
"LA VICTORIA BARANGAY HEALTH STATION",,"DOH000000000024718","07","0712","BOHOL","071247","VALENCIA","BHS",
"LIMOCON BARANGAY HEALTH STATION",,"DOH000000000024719","07","0712","BOHOL","071247","VALENCIA","BHS",
"LOCTOB BARANGAY HEALTH STATION",,"DOH000000000024720","07","0712","BOHOL","071247","VALENCIA","BHS",
"MAGSAYSAY BARANGAY HEALTH STATION",,"DOH000000000024721","07","0712","BOHOL","071247","VALENCIA","BHS",
"MAUBO BARANGAY HEALTH STATION",,"DOH000000000024722","07","0712","BOHOL","071247","VALENCIA","BHS",
"NAILO BARANGAY HEALTH STATION",,"DOH000000000024723","07","0712","BOHOL","071247","VALENCIA","BHS",
"OMJON BARANGAY HEALTH STATION",,"DOH000000000024724","07","0712","BOHOL","071247","VALENCIA","BHS",
"PANGI-AN BARANGAY HEALTH STATION",,"DOH000000000024725","07","0712","BOHOL","071247","VALENCIA","BHS",
"POBLACION ORIENTAL BARANGAY HEALTH STATION",,"DOH000000000024726","07","0712","BOHOL","071247","VALENCIA","BHS",
"SIMANG BARANGAY HEALTH STATION",,"DOH000000000024727","07","0712","BOHOL","071247","VALENCIA","BHS",
"TAUG BARANGAY HEALTH STATION",,"DOH000000000024728","07","0712","BOHOL","071247","VALENCIA","BHS",
"TAUSION BARANGAY HEALTH STATION",,"DOH000000000024729","07","0712","BOHOL","071247","VALENCIA","BHS",
"TICUM BARANGAY HEALTH STATION",,"DOH000000000024730","07","0712","BOHOL","071247","VALENCIA","BHS",
"CABADIANGAN BARANGAY HEALTH STATION",,"DOH000000000024731","07","0722","CEBU","072201","ALCANTARA","BHS",
"GUIWANG HEALTH CENTER",,"DOH000000000024732","07","0722","CEBU","072202","ALCOY","BHS",
"SAN AGUSTIN HEALTH CENTER",,"DOH000000000024733","07","0722","CEBU","072202","ALCOY","BHS",
"BOJO HEALTH CENTER",,"DOH000000000024734","07","0722","CEBU","072204","ALOGUINSAN","BHS",
"KANTABOGON HEALTH CENTER",,"DOH000000000024735","07","0722","CEBU","072204","ALOGUINSAN","BHS",
"KAWASAN HEALTH CENTER",,"DOH000000000024736","07","0722","CEBU","072204","ALOGUINSAN","BHS",
"PUNAY HEALTH CENTER",,"DOH000000000024737","07","0722","CEBU","072204","ALOGUINSAN","BHS",
"SAKSAK HEALTH CENTER",,"DOH000000000024738","07","0722","CEBU","072204","ALOGUINSAN","BHS",
"APO BARANGAY HEALTH STATION",,"DOH000000000024739","07","0722","CEBU","072205","ARGAO","BHS",
"BALAAS HEALTH CENTER",,"DOH000000000024740","07","0722","CEBU","072205","ARGAO","BHS",
"BUG-OT BARANGAY HEALTH STATION",,"DOH000000000024741","07","0722","CEBU","072205","ARGAO","BHS",
"BULASA HEALTH CENTER",,"DOH000000000024742","07","0722","CEBU","072205","ARGAO","BHS",
"BUTONG HEALTH CENTER",,"DOH000000000024743","07","0722","CEBU","072205","ARGAO","BHS",
"CALAGASAN HEALTH CENTER",,"DOH000000000024744","07","0722","CEBU","072205","ARGAO","BHS",
"CASAY HEALTH CENTER",,"DOH000000000024745","07","0722","CEBU","072205","ARGAO","BHS",
"CATANG BARANGAY HEALTH STATION",,"DOH000000000024746","07","0722","CEBU","072205","ARGAO","BHS",
"CONALUM BARANGAY HEALTH STATION",,"DOH000000000024747","07","0722","CEBU","072205","ARGAO","BHS",
"GUIWANON BARANGAY HEALTH STATION",,"DOH000000000024748","07","0722","CEBU","072205","ARGAO","BHS",
"JAMPANG HEALTH CENTER",,"DOH000000000024749","07","0722","CEBU","072205","ARGAO","BHS",
"LANGTAD HEALTH CENTER",,"DOH000000000024750","07","0722","CEBU","072205","ARGAO","BHS",
"LANGUB BARANGAY HEALTH STATION",,"DOH000000000024751","07","0722","CEBU","072205","ARGAO","BHS",
"MANDILIKIT HEALTH CENTER",,"DOH000000000024752","07","0722","CEBU","072205","ARGAO","BHS",
"PANADTARAN BARANGAY HEALTH STATION",,"DOH000000000024753","07","0722","CEBU","072205","ARGAO","BHS",
"SUA HEALTH CENTER",,"DOH000000000024754","07","0722","CEBU","072205","ARGAO","BHS",
"TULANG HEALTH CENTER",,"DOH000000000024755","07","0722","CEBU","072205","ARGAO","BHS",
"BAGO BARANGAY HEALTH STATION",,"DOH000000000024756","07","0722","CEBU","072206","ASTURIAS","BHS",
"LUNAS BARANGAY HEALTH STATION",,"DOH000000000024757","07","0722","CEBU","072206","ASTURIAS","BHS",
"MANGUIAO BARANGAY HEALTH STATION",,"DOH000000000024758","07","0722","CEBU","072206","ASTURIAS","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000024759","07","0722","CEBU","072206","ASTURIAS","BHS",
"SAN ROQUE BARANGAY HEALTH STATION",,"DOH000000000024760","07","0722","CEBU","072206","ASTURIAS","BHS",
"TAGBUBONGA BARANGAY HEALTH STATION",,"DOH000000000024761","07","0722","CEBU","072206","ASTURIAS","BHS",
"UBOGON BARANGAY HEALTH STATION",,"DOH000000000024762","07","0722","CEBU","072206","ASTURIAS","BHS",
"TIGBAO BARANGAY HEALTH STATION",,"DOH000000000024763","07","0722","CEBU","072207","BADIAN","BHS",
"CABASIANGAN BARANGAY HEALTH STATION",,"DOH000000000024764","07","0722","CEBU","072208","BALAMBAN","BHS",
"CAMBUHAWE BARANGAY HEALTH STATION",,"DOH000000000024765","07","0722","CEBU","072208","BALAMBAN","BHS",
"DUANGAN BARANGAY HEALTH STATION",,"DOH000000000024766","07","0722","CEBU","072208","BALAMBAN","BHS",
"LIKI BARANGAY HEALTH STATION",,"DOH000000000024767","07","0722","CEBU","072208","BALAMBAN","BHS",
"BAIGAD BARANGAY HEALTH STATION",,"DOH000000000024768","07","0722","CEBU","072209","BANTAYAN","BHS",
"KANGKAIBE BARANGAY HEALTH STATION",,"DOH000000000024769","07","0722","CEBU","072209","BANTAYAN","BHS",
"MOJON BARANGAY HEALTH STATION",,"DOH000000000024770","07","0722","CEBU","072209","BANTAYAN","BHS",
"BACLAYAN BARANGAY HEALTH STATION",,"DOH000000000024771","07","0722","CEBU","072212","BOLJOON","BHS",
"GRANADA BARANGAY HEALTH STATION",,"DOH000000000024772","07","0722","CEBU","072212","BOLJOON","BHS",
"LOWER BECERRIL BARANGAY HEALTH STATION",,"DOH000000000024773","07","0722","CEBU","072212","BOLJOON","BHS",
"LUNOP BARANGAY HEALTH STATION",,"DOH000000000024774","07","0722","CEBU","072212","BOLJOON","BHS",
"NANGKA BARANGAY HEALTH STATION",,"DOH000000000024775","07","0722","CEBU","072212","BOLJOON","BHS",
"SOUTH GRANADA BARANGAY HEALTH STATION",,"DOH000000000024776","07","0722","CEBU","072212","BOLJOON","BHS",
"UPPER BECERRIL BARANGAY HEALTH STATION AND BIRTHING CENTER",,"DOH000000000024777","07","0722","CEBU","072212","BOLJOON","BHS",
"BAGACAY BARANGAY HEALTH STATION",,"DOH000000000024778","07","0722","CEBU","072213","BORBON","BHS",
"BILI BARANGAY HEALTH STATION",,"DOH000000000024779","07","0722","CEBU","072213","BORBON","BHS",
"BONGDO BARANGAY HEALTH STATION",,"DOH000000000024780","07","0722","CEBU","072213","BORBON","BHS",
"BONGDO GUA HEALTH CENTER",,"DOH000000000024781","07","0722","CEBU","072213","BORBON","BHS",
